repository_name,language
.github,
ads-advanced-tools-docs,Jupyter Notebook
ads-pao-amznjs-gtm-template,Smarty
alexa-coho,JavaScript
alexa-skills-kit-js,
amazon-ads-advertiser-audience-normalization-sdk-py,Python
amazon-advertising-api-php-sdk,PHP
amazon-codeguru-profiler-for-spark,Java
amazon-frustration-free-setup-certification-tool,Python
amazon-hub-counter-api-docs,CSS
amazon-hub-counter-api-samples,Java
amazon-hub-counter-sdk-java,Java
amazon-hub-support,PowerShell
amazon-instant-access-sdk-java,Java
amazon-instant-access-sdk-net,C#
amazon-instant-access-sdk-php,PHP
amazon-instant-access-sdk-ruby,Ruby
amazon-launcher-integration-cordova-plugin,JavaScript
amazon-marketing-stream-examples,Python
amazon-mcf-plugin-for-magento-1,PHP
amazon-multi-token-completion,Python
amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amazon-pay-api-sdk-dotnet,C#
amazon-pay-api-sdk-java,Java
amazon-pay-api-sdk-nodejs,JavaScript
amazon-pay-api-sdk-php,PHP
amazon-pay-sdk-csharp,C#
amazon-pay-sdk-java,Java
amazon-pay-sdk-php,PHP
amazon-pay-sdk-python,Python
amazon-pay-sdk-ruby,Ruby
amazon-pay-sdk-samples,PHP
amazon-payment-files-tools,Kotlin
amazon-payments-magento-2-plugin,PHP
amazon-ray,Python
amazon-s3-gst-plugin,C
amazon-sidewalk-android-samples,
amazon-sidewalk-ios-samples,Swift
amazon-succinct-doc-representation,Python
amazon-template-library,C++
amazon-weak-ner-needle,Python
amigitenough,Go
amzn-drivers,C
amzn-ec2-ena-utilities,Python
armbench,Python
auction-gym,Jupyter Notebook
augment-the-pairs-wacv2024,Python
autotrail,Python
aws-apigateway-client-lib,
aws-sigv4-signing-samples,Java
awsssmchaosrunner,Kotlin
basis-point-sets,Python
buy-with-prime-automate-tenant-validation,JavaScript
buy-with-prime-cdk-constructs,TypeScript
buy-with-prime-event-accelerator,Python
buy-with-prime-monitoring-sample-cdk,TypeScript
buy-with-prime-oauth-handler-ec2,JavaScript
buy-with-prime-saas-integration,TypeScript
chalet-charging-location-for-electric-trucks,Python
computer-vision-basics-in-microsoft-excel,
